TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,VARIATION 2 VALUES
Smells Like Juicy By Juicy Couture Women's Boots,"Smells Like Juicy By Juicy Couture Women's Brown Suede Leather Boots, 

Size 9
Pre-owned, minor scuffs",35,USD,1,"Clothing,Shoes,Women,Smells_Like_Juicy,Juicy_Couture,Boots,Size_9",Leather,https://img.etsystatic.com/il/1883dd/1556268075/il_fullxfull.1556268075_cj3v.jpg?version=0,,,,,,,,,,,,,,,
"Heart Stack Set in Sterling, Ruby, Diamond, Sapphire","The Heart Stack Set: We landed a bulk lot from a Gallery Show. Consider these for the perfect Bridesmaids Gifts! [If purchasing more than two sets, I will offer an incredible bulk price.]

Ruby Red Heart Ring Set in Solid .925 Sterling 
w 6 round single cut diamond accents and 8 Sapphires
Size 6 
Ruby Red Heart Center
Minimum Carat Total Weight:<1/10 ctw (0.00 - 0.08)
Gemstone Length:6.00 mm
Gemstone Width:6.00 mm
Center Stone Color:Red
Stone Type:Gemstone
Stone Shape:Heart
Average Color:HI
Average Clarity:I2-I3
Makers Mark


Ruby Red and White Sapphire Band 
Set in Solid .925 Sterling Silver 
Size 6
Stone Type: Sapphire
Stone Shape:Oval
Center Stone Nature:Natural
Gemstone Length:2.00 mm
4.00 mm
Gemstone Width:2.00 mm
3.00 mm
Makers Mark",45,USD,1,"Jewelry,Ring",,https://img.etsystatic.com/il/00c198/1555716587/il_fullxfull.1555716587_gm26.jpg?version=0,https://img.etsystatic.com/il/bb1d68/1508254354/il_fullxfull.1508254354_25ia.jpg?version=0,https://img.etsystatic.com/il/53a966/1508254358/il_fullxfull.1508254358_d5jy.jpg?version=0,,,,,,,,,,,,,
Solid 14K White Gold 2.3g Pave Set Diamond Wedding Band,"Solid 14K White Gold 2.3g Pave Set Diamond Wedding Band
Size: 6.5
Diamonds:
.20 Ctw
Color: I-J
Clarity SI2
Width: Top 2.5mm
Bottom: 1.9mm 

Maker's Mark and 14K Stamp",75,USD,1,"Jewelry,Ring,Solid_Gold,14K,White_Gold,Pave_Set,Diamond,Wedding_Band","Gold,Diamonds",https://img.etsystatic.com/il/42469f/1508222848/il_fullxfull.1508222848_7pv9.jpg?version=0,,,,,,,,,,,,,,,
Liz Claiborne Alligator Patent Leather Office Tech Bag,"Liz Claiborne Alligator Patent Leather Briefcase

Wear on Base of Outer Straps only

Interior Looks New/Unused, 3 Sections, Pockets and Straps for Laptop / Tech or Files. 
 
Brand Identifier tags are not on bag.",26,USD,1,"Bags_And_Purses,Liz_Claiborne,Alligator,Patent_Leather,Briefcase,Tech_Bag",,https://img.etsystatic.com/il/894373/1555669907/il_fullxfull.1555669907_o3vx.jpg?version=0,,,,,,,,,,,,,,,
Vera Bradley Quilted Red Hobo Bag,"Vera Bradley Quilted Red Hobo Bag

Pre-owned and is in excellent shape.",20,USD,1,"Bags_And_Purses,Red,Vera_Bradley,Quilted,Hobo_Bag",,https://img.etsystatic.com/il/4bcc17/1555665741/il_fullxfull.1555665741_2r1q.jpg?version=0,,,,,,,,,,,,,,,
Vintage Southwestern Sterling Silver Turquoise Heishi Necklaces,"Vintage Southwestern 925 Sterling Silver Turquoise Heishi Necklaces, Signed WR Needle Point Cross Pendant & Dangle Earrings
Measurements:
NECKLACE LENGTHS: 16"" - 22""
PENDANT LENGTH 2 1/4""
EARRING LENGTH 1 1/4""
Markings:
STERLING, WR
Total Weight: 33.3g",65,USD,1,"Jewelry,Necklace,Vintage,Indian,Southwestern,Sterling_Silver,Turquoise,Heishi_Necklaces","Sterling Silver,Turquoise",https://img.etsystatic.com/il/a333b7/1555660419/il_fullxfull.1555660419_j85h.jpg?version=0,https://img.etsystatic.com/il/f42164/1556267119/il_fullxfull.1556267119_o617.jpg?version=0,,,,,,,,,,,,,,
Solid 14Kt Gold Rope Earrings w Pink Gem 2.4g -1 Pair,"1 Pair of Solid 14Kt Gold Rope Earrings w Pink Gem
2.4g

Gold is tested by Jeweler.",58,USD,1,"Jewelry,Earrings,Solid_Gold,14Kt_Gold,Rope_Earrings,Pink_Gem",Gold,https://img.etsystatic.com/il/415c68/1508188896/il_fullxfull.1508188896_br08.jpg?version=0,https://img.etsystatic.com/il/597cdb/1555644591/il_fullxfull.1555644591_6658.jpg?version=0,,,,,,,,,,,,,,
Bandolino Leather Riding Boots,"Bandolino
Leather Riding Boots w Man Made Upper
Size 8.5
Excellent Condition
Pre-owned but looks new",35,USD,1,"Clothing,Shoes,Women,Bandolino,Leather,Riding_Boots",,https://img.etsystatic.com/il/a715f4/1555641987/il_fullxfull.1555641987_j5lc.jpg?version=0,,,,,,,,,,,,,,,
"Solid 10K Beads w Lapis Lazuli 18"" Strand Necklace",Solid 10K Bead w Lapis Lazuli Beaded Necklace,36,USD,1,"Jewelry,Necklace,Lapis_Lazuli,Lapis,Gold,10K_Gold,Solid_Gold","Lapis lazuli,Gold",https://img.etsystatic.com/il/008e77/1508178300/il_fullxfull.1508178300_sylq.jpg?version=0,,,,,,,,,,,,,,,
Marquis by Waterford Bride & Groom Stemmed Flutes,"Marquis by waterford Bride & Groom Stemed Flutes (December 26th 2004 Etched into each glass)
MATERIAL:   Glass
CONDITION:  Good
DIMENSIONS:   10 x 12 x 4

I am assured a qualified professional can etch and polish out the dates if you need it done.",25,USD,1,"Housewares,Crystal,Estate,Waterford,Champagne_Flute",Crystal,https://img.etsystatic.com/il/835110/1508172480/il_fullxfull.1508172480_r86n.jpg?version=0,,,,,,,,,,,,,,,
